"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER";"PACKAGE";"PARAMETER";"PARTNUMBER";"VALUE";
"1";"MAX1771ESA+";"MAX1771ESA+";"SOIC127P600X175-8N";"IC13";"DC/DC Controller, Boost (Step Up), 3 V to 16.5 V, 1 Output, 300 kHz, SOIC-8";"Maxim Integrated";"SOIC-8";"";"MAX1771ESA+";"";
"1";"MCP111T-300E/TT";"MCP111T-300E/TT";"SOT95P240X110-3N";"IC12";"Voltage Detecting Supervisor IC, Open-Drain/Active Low, 2.930V Trip Point";"Microchip";"SOT23";"";"MCP111T-300E/TT";"";
"1";"MCSDRH125B-101MHF";"MCSDRH125B-101MHF";"INDM120120X600N";"L1";"Power Inductor (SMD), 100 µH, 2.4 A, Shielded, 2.2 A, MCSDRH125B Series, 12.5mm x 12.5mm x 6mm";"Multicomp PRO";"Square 12.5x6";"";"MCSDRH125B-101MHF";"";
"4";"MOUNTING_HOLE_3MM";"MOUNTING_HOLE_3MM";"MOUNTING_HOLE_3MM";"MT1, MT2, MT3, MT4";"";"";"";"";"";"";
"4";"NIXIE-IN-8-2";"NIXIE-IN-8-2";"NIXIE-IN-8-2";"Q1, Q2, Q3, Q4";"";"";"";"";"";"";
"2";"PCB Terminal";"PCB_TERMINAL_PAD";"PCB_TERMINAL_PAD";"J1, J2";"";"";"";"4mmx2mm";"";"PCB Terminal";
"1";"PMEG4030ER";"PMEG4010CEJ";"SODFL3517X110N";"D3";"Schottky Rectifier, 40 V, 3 A, 540 mV, SOD-123W, NEXPERIA";"NEXPERIA";"SOD-123W";"40V, 3A";"PMEG4030ER,115";"PMEG4030ER";
"1";"S8421-45R";"S8421-45R";"S8421-45R";"PS1";"Battery Holder (Open) Coin, 20.0mm 1 Cell SMD (SMT) Tab";"Harwin";"";"";"S8421-45R";"S8421-45R";
"4";"SN74HC595DR";"SN74HC595DR";"SOIC127P600X175-16N";"IC5, IC6, IC7, IC8";"8-Bit Shift Register With 3-State Outputs";"Texas Instruments";"SOIC-16";"";"SN74HC595DR";"";
"4";"SN75468";"SN75468";"SOIC127P600X175-16N";"IC1, IC2, IC3, IC4";"100-V, 7-ch darlington array with TTL or CMOS compatibility";"Texas Instruments";"SOIC16";"";"SN75468D";"";
"2";"TLC5973";"TLC5973";"SOIC127P600X175-8N";"IC9, IC10";"LED Driver, 3-Channel, 12-Bit, PWM Constant-Current with Single-Wire Interface, Texas Instruments";"Texas Instruments";"SOIC-8";"";"TLC5973";"TLC5973";
"1";"TM4C1231H6PMI";"TM4C1231H6PMI";"QFP50P1200X1200X160-64N";"IC14";"";"Texas Instruments";"LQFP-64";"";"TM4C1231H6PMI";"";
"1";"TPS73633DBVT";"TPS73633DBVT";"SOT95P280X145-5N";"IC11";"400mA LDO Linear Voltage Regulator";"Texas Instruments";"SOT23-5";"";"TPS73633DBVT";"";
